PropertyID,Street,ZestimateDate,ZestimateAmount,SaleDate,SaleAmount,ZestimateOnSaleDate,,Delta of FandG,
48668200, Bagley Ave N ,7/1/2006,"$1,019,769.00",#N/A,#N/A,#N/A,,,
48668201, Bagley Ave N ,7/1/2002,"$385,227.00",#N/A,#N/A,#N/A,,,
48668202, Bagley Ave N ,7/1/2002,"$567,621.00",9/9/2004,"$685,000.00","$645,108.00",,,
48668203, BAGLEY AVE N ,7/1/2002,"$447,801.00",12/8/2000,"$313,000.00","$405,863.00",,,
48668204,N 35th St  ,7/1/2002,"$544,885.00",#N/A,#N/A,#N/A,,,
48668205,N 36th St  ,7/1/2002,"$382,872.00",1/2/1997,"$220,000.00","$214,200.00",,,
48668206, MERIDIAN AVE N ,7/1/2002,"$470,040.00",#N/A,#N/A,#N/A,,,
54831714,N 60TH ST  ,7/1/2004,"$780,787.00",2/8/2007,"$1,120,000.00","$998,422.00",,"$121,578.00",
48672524, GREENWOOD AVE N ,7/1/2002,"$454,836.00",6/28/1996,"$179,500.00","$230,394.00",,,
48672525, Greenwood Ave N ,7/1/2002,"$442,773.00",#N/A,#N/A,#N/A,,,
48672526,N Argyle Pl  ,7/1/2002,"$470,338.00",#N/A,#N/A,#N/A,,,
48672527, GREENWOOD AVE N ,7/1/2002,"$343,838.00",4/29/2005,"$468,000.00","$454,044.00",,,
48672529, GREENWOOD AVE N ,7/1/2002,"$392,455.00",#N/A,#N/A,#N/A,,,
48672531, Greenwood Ave N ,7/1/2002,"$591,954.00",#N/A,#N/A,#N/A,,,
48672532, GREENWOOD AVE N ,7/1/2002,"$465,204.00",12/31/2001,"$438,000.00","$446,289.00",,,
48672533, GREENWOOD AVE N ,7/1/2002,"$471,308.00",4/22/2005,"$500,000.00","$566,142.00",,,
48672534, Greenwood Ave N ,7/1/2002,"$300,742.00",#N/A,#N/A,#N/A,,,
48672535,N 57TH ST  ,7/1/2002,"$312,847.00",#N/A,#N/A,#N/A,,,
48672536,N 57TH ST  ,7/1/2002,"$349,320.00",#N/A,#N/A,#N/A,,,
48672537, PALATINE PL N ,7/1/2002,"$440,568.00",#N/A,#N/A,#N/A,,,
48672538,N 57TH ST  ,7/1/2002,"$483,042.00",6/28/2005,"$635,000.00","$631,455.00",,,
48672539, PALATINE PL N ,7/1/2002,"$348,908.00",#N/A,#N/A,#N/A,,,
48672540,N 57TH ST  ,7/1/2002,"$257,570.00",10/30/1998,"$165,000.00","$189,059.00",,,
48672541, PALATINE PL N ,7/1/2002,"$320,769.00",#N/A,#N/A,#N/A,,,
